"","AgencyName","NTDID","OrgType","reptype","id","survey_response","pop","mile","VOMS","revenue","City","County","Address","Zip","minutes_sum","minutes"
"1","","","","","",0,NA,NA,NA,NA,"","","","",NA,0
"2","","","","","",0,NA,NA,NA,NA,"","","","",NA,0
"3","","","","","",0,NA,NA,NA,NA,"","","","",NA,0
"4","","","","","",0,NA,NA,NA,NA,"","","","",NA,0
"5","","","","","",0,NA,NA,NA,NA,"","","","",NA,0
"6","Access Services","90157","Independent Public Agency","","",0,NA,NA,NA,NA,"El Monte","","PO Box 5728","91734",26,1
"7","Alameda-Contra Costa Transit District","90014","Independent Public Agency","Full Reporter","Principal City",1,1425275,364,794,520172455,"Oakland","Alameda","1600 Franklin Street","94612",25,1
"8","Alhambra","90247","Local Government","Reduced Reporter","Suburban City",0,83089,8,15,1893158,"Alhambra","Los Angeles","111 S First Street","91801",39,1
"9","Alpine County Local Transportation Commission","91116","MPO/RTPA","","",0,NA,NA,NA,NA,"Markleeville","","50 Diamond Valley Road","96120",NA,0
"10","Altamont Corridor Express","90182","Independent Public Agency","Full Reporter","Principal City",0,4094704,28,34,39739603,"Stockton","San Joaquin","","",14,1
"11","Amador Regional Transit System","9R02-91000","Independent Public Agency","Rural Reporter","Small Rural City",1,NA,NA,11,NA,"Jackson","Amador","11400 American Legion Drive","95642-9525",11,1
"12","Anaheim Transportation Network","90211","Other","Full Reporter","Principal City",1,358000,50,77,16990444,"Anaheim","Orange","","",NA,0
"13","Antelope Valley Transit Authority","90121","Independent Public Agency","Full Reporter","Suburban City",1,349050,1200,74,33705489,"Lancaster","Los Angeles","42210 6th Street West","93534",NA,0
"14","Arcadia","90044","Local Government","Reduced Reporter","Principal City",0,56364,11,14,1792987,"Arcadia","Los Angeles","PO Box 60021","91066-6021",21,1
"15","Arcata","9R02-91018","Local Government","Rural Reporter","Principal City",0,NA,NA,3,NA,"Arcata","Humboldt","","",25,1
"16","Arvin","9R02-91027","Local Government","Rural Reporter","Small Rural City",1,NA,NA,6,NA,"Arvin","Kern","165 Plum Tree","93203",18,1
"17","Association of Monterey Bay Area Governments (AMBAG)","","MPO/RTPA","","",0,NA,NA,NA,NA,"Marina","","","",NA,0
"18","Auburn","9R02-91032","Local Government","Rural Reporter","Small Rural City",1,NA,NA,5,NA,"Auburn","Placer","1225 Lincoln Way Rm 3","95603",23,1
"19","Avalon","90249","Local Government","Reduced Reporter","Suburban City",1,3801,1,4,819641,"Avalon","Los Angeles","PO Box 707","90704",20,1
"20","Baldwin Park","90251","Local Government","Reduced Reporter","Suburban City",0,76056,7,6,1459975,"Baldwin Park","Los Angeles","","",19,1
"21","Banning","","Local Government","","",0,NA,NA,NA,NA,"Banning","","PO Box 998","92220",NA,0
"22","Beaumont","","Local Government","","",0,NA,NA,NA,NA,"Beaumont","","550 East 6th Street","92223",NA,0
"23","Bell","90252","Local Government","Reduced Reporter","Suburban City",0,35731,3,7,345823,"Bell","Los Angeles","","",9,1
"24","Bell Gardens","90253","Local Government","Reduced Reporter","Suburban City",0,42889,2,6,1111408,"Bell Gardens","Los Angeles","","",NA,0
"25","Bellflower","90254","Local Government","Reduced Reporter","Suburban City",0,78106,6,4,1553994,"Bellflower","Los Angeles","","",26,1
"26","Blue Lake Rancheria","99292","Other","Reduced Reporter","Small Rural City",0,NA,NA,1,123569,"Blue Lake","Humboldt","","",NA,0
"27","Burbank","90256","Local Government","Reduced Reporter","Principal City",0,104834,17,14,1934429,"Burbank","Los Angeles","275 E Olive Avenue","91510",32,1
"28","Butte County Association of Governments","90208","MPO/RTPA","Full Reporter","Principal City",1,187257,202,48,14258314,"Chico","Butte","326 Huss Drive Ste 150","95928",575,1
"29","Calabasas","90257","Local Government","Reduced Reporter","Suburban City",0,24075,13,13,721419,"Calabasas","Los Angeles","","",21,1
"30","Calaveras County Department of Public Works","9R02-91063","Local Government","Rural Reporter","Small Rural City",0,NA,NA,11,NA,"San Andreas","Calaveras","","",NA,0
"31","Calaveras Transit Agency","99442","Independent Public Agency","","",0,NA,NA,NA,NA,"San Andreas","","PO Box 280","95249",6,1
"32","Camarillo","90163","Local Government","Reduced Reporter","Principal City",0,67845,20,21,2262048,"Camarillo","Ventura","601 Carmen Drive","93010",22,1
"33","Carson","90258","Local Government","Reduced Reporter","Principal City",0,91714,19,15,2869915,"Carson","Los Angeles","","",26,1
"34","Central Contra Costa Transit Authority","90078","Independent Public Agency","Full Reporter","Suburban City",0,540067,143,140,38306562,"Concord","Contra Costa","2477 Arnold Industrial Way","94520",55,1
