NTDID,AgencyName,OrgType,reptype,id,survey_response,pop,mile,VOMS,revenue,City,County,Address,Zip
90003,San Francisco Bay Area Rapid Transit District,Independent Public Agency,Full Reporter,Principal City,0,1834004,113,566,1267968890,Oakland,Alameda,,
90004,Golden Empire Transit District,Independent Public Agency,Full Reporter,Principal City,0,497989,111,87,32370558,Bakersfield,Kern,1830 Golden State Avenue,93301
90006,Santa Cruz Metropolitan Transit District,Independent Public Agency,Full Reporter,Principal City,0,274146,446,105,49013366,Santa Cruz,Santa Cruz,110 Vernon Street,95060
90007,Modesto,Local Government,Full Reporter,Principal City,0,253607,59,63,21276152,Modesto,Stanislaus,PO Box 642,95354
90008,Santa Monica,Local Government,Full Reporter,Principal City,1,855918,59,172,88156921,Santa Monica,Los Angeles,,
90009,San Mateo County Transit District,Independent Public Agency,Full Reporter,Suburban City,0,777905,97,399,167333762,San Carlos,San Mateo,PO Box 1306,94070-1306
90010,Torrance,Local Government,Full Reporter,Principal City,0,606847,103,84,25610872,Torrance,Los Angeles,,
90012,San Joaquin Regional Transit District,Independent Public Agency,Full Reporter,Principal City,0,744835,1426,92,47075745,Stockton,San Joaquin,PO Box 201010,95201
90013,Santa Clara Valley Transportation Authority,Independent Public Agency,Full Reporter,Principal City,1,1956598,346,642,699549825,San Jose,Santa Clara,3331 N First Street,95134
90014,Alameda-Contra Costa Transit District,Independent Public Agency,Full Reporter,Principal City,1,1425275,364,794,520172455,Oakland,Alameda,1600 Franklin Street,94612
90015,City and County of San Francisco,Independent Public Agency,Full Reporter,Principal City,0,883963,49,1014,1397662475,San Francisco,San Francisco,1 South Van Ness 7th Flr,94103
90016,"Golden Gate Bridge, Highway and Transportation District",Independent Public Agency,Full Reporter,Principal City,0,896089,145,154,129705916,San Francisco,San Francisco,,
90017,Santa Rosa,Local Government,Full Reporter,Principal City,1,181594,51,36,12832003,Santa Rosa,Sonoma,45 Stony Point Road,95401
90019,Sacramento Regional Transit District,Independent Public Agency,Full Reporter,Principal City,0,1031946,226,232,182219059,Sacramento,Sacramento,1400  29th Street,95812
90020,Santa Barbara Metropolitan Transit District,Independent Public Agency,Full Reporter,Principal City,0,199668,52,93,28487336,Santa Barbara,Santa Barbara,550 Olive Street,93101
