Video/ Audio,URL,Transit relevent ?,Count - video(past 12 months),Count - Meetings (past 12 months),Transportation Commission/City Counsil/ Planning Commission?,Mentioned Transportation Topic?,Transportation Commission Existed?,Transportation Commission video posted (>2 in the last year)?,"If no transportation commission, other meetings posted?",NAME2,AgencyName,NTDID,orgtype,pop,reptype,VOMS,mile,revenue,survey_response,Density,County,id,Contact Name,Email.x,Transit Operating Expense,size,CTA,Founded,OrgName,Organization Type,Website,Address,Zip,Phone,Primary Contact - Title,CALACT,Contact,Email.y,CATEGORY,OT,City
"Note: Google search Agency Name + Meeting video, check if there is YouTube video or Granicus; if not, check the official website",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,Access Services,Access Services,,Independent Public Agency,,,,,,0,,,,Andre Colaiace,Colaiace@asila.org,135605315,small,CTA Member,,Access Services,Public Operator,http://www.accessla.org,PO Box 5728,91734,213-270-6000,Strategic Planner,CALACT Member,Eric Haack,Haack@accessla.org,,Independent Public Agency,El Monte
Granicus,https://actransit.legistar.com/Calendar.aspx,Yes,36,90,,,,,,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,90014,Independent Public Agency,1425275,Full Reporter,794,364,520172455,1,6266,Alameda,Principal City,Beverly Greene,bgreene@actransit.org,435546632,large,CTA Member,,AC Transit,Public Operator,http://actransit.org,1600 Franklin Street,94612,510-891-7213,Accessible Services Manager,CALACT Member,Mallory Nestor-Brush,mnestor@actransit.org,,Independent Public Agency,Oakland
Own Website,https://spectrumstream.com/streaming/alhambra/live.cfm,No,19,150,,,,,,Alhambra,City of Alhambra,90247,Local Government,83089,Reduced Reporter,15,8,1893158,0,6999,Los Angeles,Suburban City,,,,,,,"Alhambra, City of",Local or Regional Government Agency,https://www.cityofalhambra.org,111 S First Street,91801,626-570-3254,Fleet Manager,CALACT Member,Joseph Villegas,jvillegas@cityofalhambra.org,,Local Government,Alhambra
Own Website,http://alpinecountyca.iqm2.com/citizens/default.aspx,No,30,43,,,,,,Alpine County Local Transportation Commission,,,MPO/RTPA,,,,,,0,,,,,,,,,,Alpine County Local Transportation Commission,Local or Regional Government Agency,https://www.transit.dot.go,50 Diamond Valley Road,96120,530-694-2140,Community Development Manager,CALACT Member,Debbie Burkett,dburkett@alpinecountyca.gov,,MPO/RTPA,Markleeville
YouTube,https://www.youtube.com/@altamontcorridorexpress/featured,No,1,,,,,,,Altamont Corridor Express,Altamont Corridor Express,90182,Independent Public Agency,4094704,Full Reporter,34,28,39739603,0,4005,San Joaquin,Principal City,,,,,,,,,,,,,,,,,,Independent Public Agency,Stockton
No,,,,,,,,,,Amador Regional Transit System,Amador Regional Transit System,9R02-91000,Independent Public Agency,,Rural Reporter,11,,,1,,Amador,Small Rural City,,,,,,,Amador Transit,Public Operator,http://www.amadortransit.com,11400 American Legion Drive,95642-9525,209-267-9395,General Manager,CALACT Member,Patricia Amarant,maggie@amadortransit.com,,Independent Public Agency,Jackson
No,,,,,,,,,,Anaheim Transportation Network,Anaheim Transportation Network,90211,Other,358000,Full Reporter,77,50,16990444,1,6999,Orange,Principal City,Diana Kotler,Dkotler@atnetwork.org,16000000,small,CTA Member,,,,,,,,,,,,,Other,Anaheim
No,,,,,,,,,,Antelope Valley Transit Authority,Antelope Valley Transit Authority,90121,Independent Public Agency,349050,Full Reporter,74,1200,33705489,1,2954,Los Angeles,Suburban City,Macy Neshati,mneshati@avta.com,24578186,small,CTA Member,,Antelope Valley Transit Authority,Public Operator,http://www.avta.com,42210 6th Street West,93534,661-945-9445,Executive Director/Chief Executive Officer,CALACT Member,Macy Neshati,Mneshati@avta.com,,Independent Public Agency,Lancaster
Own Website,https://spectrumstream.com/streaming/arcadia/live.cfm,No,21,21,,,,,,Arcadia,City of Arcadia,90044,Local Government,56364,Reduced Reporter,14,11,1792987,0,6999,Los Angeles,Principal City,Philip Wray,Pwray@arcadiaca.gov,1823710,small,CTA Member,,"Arcadia, City of",Local Government,https://www.arcadiaca.gov/,PO Box 60021,91066-6021,626-574-5435,Transportation Services Manager,CALACT Member,Linda Hui,lhui@arcadiaca.gov,Local Government,Local Government,Arcadia
